Gene.symbol	P.Value	logFC
Igsf10	3.79e-08	1.271958
Jph2	3.85e-08	-1.10636362
Uchl1	3.98e-08	2.33671852
E330037I15Rik	3.99e-08	1.46987644
St8sia5	4.01e-08	-2.1493149
Hes6	4.02e-08	0.9311603
1190002N15Rik	4.09e-08	1.15506578
Adi1	4.11e-08	-1.06061797
Sesn3	4.13e-08	1.84251478
Stradb	4.28e-08	-0.95041963
Ppm1f	4.56e-08	0.90042253
Slc37a4	4.59e-08	-2.07968907
Nectin1	4.67e-08	1.05540668
Tigar	4.68e-08	-1.17273849
Ext1	4.7e-08	1.46536561
Atp1b4	4.71e-08	2.46843125
Svep1	4.76e-08	1.14921068
Tmem229b	4.79e-08	1.64871225
Igf2	4.81e-08	1.68459221
Rhoc	5.07e-08	1.01589448
Serpinb8	5.08e-08	1.84764582
Klhl33	5.11e-08	-1.87588591
Ccdc88a	5.27e-08	0.92019353
Dusp23	5.39e-08	-1.18033266
Cxcl10	5.54e-08	2.36128225
Suclg1	5.54e-08	-0.87517567
Id2	5.64e-08	1.33391317
Ptprf	5.68e-08	0.85967285
Gga2	5.76e-08	0.90833812
Aldh1a1	5.91e-08	-1.22948655
Gpt2	6.05e-08	-1.73239319
Scn2a1	6.2e-08	1.61260807
Tnnt2	6.26e-08	1.58082038
Atp13a3	6.43e-08	1.83204915
Reep1	6.45e-08	-1.06270511
Prr33	6.45e-08	-1.23220434
Ephb3	6.56e-08	0.97032533
Mettl21a	6.66e-08	0.82195467
Fat3	6.75e-08	1.33066193
Sirpa	6.82e-08	1.07844579
Myf6	6.91e-08	0.82075345
Map1b	7.25e-08	1.59239732
Tnfrsf22	7.28e-08	2.0280759
Scn2a1	7.28e-08	1.55758222
Kcnn3	7.47e-08	1.96365829
Mfap4	7.53e-08	1.29832691
Ccdc136	7.81e-08	1.14950011
Emp2	7.94e-08	1.17338916
Scn2a1	8.04e-08	0.99347967
Esr1	8.42e-08	-0.96389138
Olfml2a	8.61e-08	1.65366993
Dennd4b	8.82e-08	-1.03678451
Gm9948	8.89e-08	0.88677304
Ccnk	8.91e-08	-0.91424456
Ttc3	9.21e-08	0.65155341
Megf10	9.26e-08	1.25577467
Tarsl2	9.29e-08	-0.96745709
Ncs1	9.41e-08	1.08636297
Mgat2	9.52e-08	0.75289046
Adamts20	9.58e-08	1.37980304
Mpc2	9.61e-08	-0.87975678
Erbb2ip	9.79e-08	1.19417046
Amd2	1.01e-07	-2.15785957
Nckap1l	1.02e-07	1.20068514
Fgf7	1.04e-07	1.37272187
Rab15	1.04e-07	1.69838219
Rasa3	1.04e-07	0.7984723
Mdga1	1.04e-07	-1.38550411
Ccdc141	1.06e-07	1.81994747
Ctgf	1.1e-07	1.47763648
Cmip	1.15e-07	0.95293055
Orai2	1.15e-07	0.91824353
Sh3pxd2a	1.17e-07	0.83588889
Ganc	1.2e-07	-0.91955731
Myod1	1.22e-07	1.05744476
Ldlrap1	1.25e-07	1.05922496
Xpo4	1.25e-07	1.56768234
Aebp2	1.27e-07	0.91977536
Frem2	1.3e-07	2.21284979
Atat1	1.31e-07	0.67560956
Camk2d	1.32e-07	1.31892478
Panx1	1.34e-07	0.8668905
Mybpc2	1.36e-07	-1.25019717
Slc16a10	1.36e-07	-1.20877931
Arhgap42	1.37e-07	1.4245596
Mapk4	1.38e-07	1.08527764
D830039M14Rik	1.41e-07	-0.99833632
Smco1	1.41e-07	-1.59786538
Tmem62	1.42e-07	1.29247219
Mrln	1.42e-07	-1.51466184
Slc41a3	1.42e-07	-1.05160784
Amd2	1.43e-07	-2.1168316
Osbpl5	1.45e-07	0.82415911
Galnt7	1.5e-07	1.27383632
Amd2	1.51e-07	-2.16661828
Macf1	1.56e-07	1.62712304
Nlrc3	1.58e-07	1.48344194
Copz2	1.58e-07	0.71818841
Tnni1	1.6e-07	2.52617953
Carhsp1	1.65e-07	1.2837221
Scn3a	1.66e-07	1.19542655
Ddhd1	1.68e-07	0.87862506
Sh3bgr	1.72e-07	-0.66887273
Kcnb1	1.76e-07	-1.12507289
Cib2	1.77e-07	-1.75725932
Myh10	1.78e-07	1.89875553
Casq2	1.79e-07	2.17336888
Ccdc80	1.79e-07	1.18440803
Ces5a	1.81e-07	1.97320145
Slc7a1	1.85e-07	0.8139433
Ccdc141	1.85e-07	2.17234036
Gnal	1.9e-07	1.30622321
Camta1	1.95e-07	2.08596606
Cox11	1.98e-07	-0.73122437
Ank1	1.99e-07	-1.11398878
Amd2	2.06e-07	-2.13581655
2310040G07Rik	2.06e-07	-2.06950115
Gdf6	2.07e-07	1.11693565
Scn2a1	2.08e-07	1.24420245
Thbs1	2.11e-07	1.48844973
Bax	2.13e-07	0.72399142
Snap47	2.14e-07	0.73641764
Osbpl6	2.15e-07	-1.53388639
Nckap5	2.16e-07	1.30485205
Cdh11	2.17e-07	1.05468527
Arpp21	2.2e-07	1.65561171
Satb1	2.22e-07	-0.74875148
Carnmt1	2.23e-07	-0.98691215
Eif4a1	2.25e-07	0.7596071
Gmpr	2.25e-07	-0.98266397
Pde10a	2.27e-07	1.45471852
Zfp346	2.27e-07	1.07586851
Syngr1	2.28e-07	-1.01945729
Maged2	2.28e-07	1.55396413
Fndc10	2.3e-07	0.91572196
Fat3	2.32e-07	1.77487991
Plcd4	2.33e-07	-1.88913435
Jak2	2.36e-07	-1.11424935
Klhl8	2.4e-07	-1.07241949
Dlg2	2.43e-07	0.95025532
Ano5	2.46e-07	-1.02252475
Adora2b	2.49e-07	1.01025135
Lactb2	2.5e-07	-0.82216909
Dnajc27	2.52e-07	-0.88362388
F2r	2.54e-07	1.08566791
Eif4a1	2.55e-07	0.77133039
Carnmt1	2.57e-07	-1.04105604
Carnmt1	2.57e-07	-1.04105604
Ptpn12	2.57e-07	0.88796172
Gabbr1	2.59e-07	1.32275713
Vwa3b	2.6e-07	-1.48277461
Ugcg	2.63e-07	1.46436751
B4galt6	2.64e-07	0.98596472
Slc43a2	2.66e-07	1.26440901
Slc12a4	2.66e-07	1.00387046
Map2k6	2.66e-07	-1.67884169
Fggy	2.69e-07	0.97129374
Smtnl2	2.7e-07	-1.44607653
Ahnak2	2.71e-07	1.39215368
Hprt	2.72e-07	1.11064612
Mospd1	2.74e-07	-0.71261015
Ehd4	2.74e-07	1.01222133
Tmem229b	2.75e-07	1.02856233
Exoc7	2.77e-07	-1.15232356
Asb16	2.77e-07	-1.02400409
Mylk4	2.79e-07	-1.77543477
Dab2	2.8e-07	0.86728755
Mpp3	2.8e-07	-1.18993321
4930567H12Rik	2.81e-07	2.57724298
Micu3	2.83e-07	-0.97235697
Gm8234	2.86e-07	-0.79851997
Mpeg1	2.87e-07	1.61851429
Tnnc1	2.92e-07	2.34918644
Sox4	2.94e-07	1.26596812
P3h2	2.96e-07	2.40899019
Smarca1	3e-07	1.5017602
Qsox1	3.02e-07	0.99446464
Mfsd4b1	3.08e-07	-0.80324021
Rbp4	3.11e-07	1.63777383
Lmcd1	3.12e-07	1.08086644
Cnn3	3.13e-07	0.76986365
Tubb2b	3.18e-07	0.95447332
Sobp	3.19e-07	-0.93742202
Ubxn2a	3.19e-07	-0.85968412
Gadd45b	3.25e-07	-1.30563352
Wwp1	3.31e-07	-0.88102372
Tcaf1	3.33e-07	0.94444338
Sec31b	3.36e-07	-0.95201537
Lgals3	3.38e-07	1.81198054
Jph2	3.4e-07	-1.12820766
Usp28	3.41e-07	0.92062073
Pon2	3.45e-07	0.77715481
Epgn	3.5e-07	1.61809407
Ucp2	3.52e-07	1.62881476
Nes	3.54e-07	1.85057967
Gid4	3.55e-07	-0.90469237
Scn2a1	3.55e-07	2.0636643
Muc15	3.6e-07	2.08875058
Myom3	3.6e-07	2.43206437
Sox6	3.63e-07	-0.83207404
Carnmt1	3.64e-07	-0.98086523
Iffo1	3.67e-07	0.75160299
Cd74	3.72e-07	1.12696853
Tns3	3.76e-07	1.08440909
H2-Aa	3.82e-07	1.39150319
Tbc1d31	3.84e-07	2.3031372
Ptpn3	3.85e-07	-1.0619468
Adamts17	3.91e-07	1.05493055
Amd2	3.94e-07	-2.10494697
Eda2r	3.95e-07	2.47616961
Dapk2	3.96e-07	1.21283847
Cyp2u1	4.02e-07	-0.82314501
Meg3	4.02e-07	1.70592325
Apoo-ps	4.06e-07	-0.76989132
Hsf2bp	4.16e-07	1.19618856
Plpp7	4.19e-07	-1.36420628
Lgmn	4.24e-07	0.80090726
Arl6ip5	4.26e-07	0.79961264
Esyt1	4.32e-07	0.77132016
Atp1b2	4.34e-07	-0.993257
Camk2g	4.4e-07	-0.8316373
Ppfibp2	4.43e-07	0.83691326
Paqr8	4.45e-07	1.28405233
Agl	4.45e-07	-0.79155307
Tab2	4.53e-07	-0.82202954
Osgepl1	4.53e-07	-0.81329336
Ube2b	4.53e-07	-0.69089778
Kif5b	4.57e-07	0.83767233
Gdf5	4.6e-07	0.74768254
Mustn1	4.61e-07	1.33367616
Ankrd13a	4.67e-07	1.0307963
Anpep	4.7e-07	0.95232617
Dnase1l1	4.77e-07	-0.83831894
Fat3	4.79e-07	1.52031419
Myl2	4.79e-07	1.89943243
Lmod2	4.85e-07	1.13972251
Rhobtb2	4.86e-07	-0.79575147
Nox4	5.03e-07	1.55065006
Zfp322a	5.15e-07	0.75285064
Trp63	5.16e-07	1.77393785
Aaed1	5.18e-07	-0.69372011
Fbxo31	5.25e-07	-1.34716792
Sulf1	5.25e-07	1.01938252
Pgm2l1	5.32e-07	-0.94098254
Mical3	5.32e-07	0.64332006
Sod2	5.34e-07	-0.72600194
Mfap5	5.45e-07	1.39141194
Apoo-ps	5.5e-07	-0.80086568
Zdbf2	5.57e-07	1.66574583
Ppfibp1	5.58e-07	1.24607559
Src	5.6e-07	0.91759393
Fzd10	5.63e-07	0.79090553
Ddb1	5.65e-07	0.96726218
BC048679	5.67e-07	-1.47026452
Pkdcc	5.75e-07	-1.01933633
Vwa3b	5.79e-07	-0.83107608
AI464131	5.81e-07	-0.81330651
Rbp1	5.82e-07	0.8615031
Tanc2	5.87e-07	1.23090389
5930412G12Rik	5.93e-07	1.30358814
Armcx2	6.02e-07	0.84717152
Fat1	6.04e-07	1.39336456
Aida	6.14e-07	0.62818785
Mid1	6.18e-07	0.70819602
Asrgl1	6.2e-07	-0.70686445
Wls	6.24e-07	0.85547828
Mgp	6.32e-07	1.71242911
Sh3bgrl2	6.47e-07	1.303736
Arhgap24	6.53e-07	1.10444122
Tgfb3	6.54e-07	0.66864775
Ptpn3	6.61e-07	-0.90157465
Ankrd2	6.65e-07	1.48077046
Bhlhb9	6.71e-07	0.91400142
Npnt	6.86e-07	1.75494375
Ramp1	6.98e-07	-0.86839141
Aim1	7.01e-07	0.96074868
H2-Ab1	7.08e-07	1.30867943
Dnajc28	7.19e-07	-0.93696748
Rspo3	7.24e-07	1.48922725
Copg2	7.31e-07	0.7247762
Gm8234	7.69e-07	-0.7724955
Abhd17c	7.83e-07	0.80842014
Myh9	7.84e-07	1.16909141
Actr3	7.86e-07	0.59222181
Ces2d-ps	8.1e-07	0.92927757
Spryd7	8.2e-07	-0.72793066
Pvr	8.44e-07	0.99548598
Tfeb	8.45e-07	-0.78806446
Rxrg	8.46e-07	-1.56125005
Metrn	8.5e-07	-0.9727946
Strbp	8.5e-07	-0.91607973
Ppm1j	8.68e-07	-0.94165334
Lca5	8.83e-07	0.5768458
Gatm	8.84e-07	1.12922757
Tead3	8.91e-07	0.6452742
Kcna7	8.98e-07	-1.11312578
Adam19	9.1e-07	0.85479946
Mmp2	9.25e-07	0.83616353
H2-Eb1	9.33e-07	1.04285985
Rbfox1	9.34e-07	-0.80980607
Dip2b	9.36e-07	0.59014149
Tubb5	9.4e-07	0.89900643
Scai	9.44e-07	1.01089116
Ube2r2	9.51e-07	-0.60599101
Osbpl3	9.54e-07	1.01662737
Klhl21	9.82e-07	-0.85911341
Usp31	9.86e-07	0.87486033
Lrrn1	9.93e-07	2.40365777
Sntb1	1e-06	1.46595902
Srpr	1e-06	-0.88673488
Igsf10	1.01e-06	1.30969852
Dnajc12	1.01e-06	-0.77423638
Ptpn3	1.01e-06	-0.99815889
Phkb	1.03e-06	-0.82987974
Calm1	1.04e-06	-0.90355859
Ly86	1.04e-06	1.11259221
Pde1c	1.04e-06	0.85748633
Galns	1.04e-06	0.79730899
Ppp1r3a	1.05e-06	-0.81448476
Ndrg4	1.06e-06	1.68558572
Cdkn1c	1.07e-06	1.71390013
Tal2	1.08e-06	1.41487805
Slc24a2	1.08e-06	0.81639174
Hspa1a	1.08e-06	1.62555188
Kctd15	1.08e-06	-0.75774179
Frat1	1.08e-06	-0.68454287
Pter	1.09e-06	-0.65364532
Traf3	1.11e-06	0.88254592
Plpp1	1.11e-06	0.90494284
Dynll2	1.12e-06	-0.6852234
Eepd1	1.12e-06	-1.19703023
Cers1	1.13e-06	-0.89129227
Tenm4	1.13e-06	1.07217751
Ntm	1.14e-06	0.98617809
Ahi1	1.14e-06	0.76241413
Plod2	1.15e-06	1.15670701
Ankrd33b	1.15e-06	-0.55769821
Wdr47	1.16e-06	1.10504647
Adprhl1	1.18e-06	1.01653222
Nav2	1.18e-06	1.05723158
Pdk2	1.18e-06	-0.7793218
Ccdc85c	1.19e-06	-0.70673228
Atp6v1a	1.19e-06	0.92284883
Drp2	1.2e-06	0.90079022
Rab11fip5	1.2e-06	0.9931788
Scn9a	1.21e-06	0.96382299
Vdac3	1.22e-06	-0.59978859
Vdac3	1.22e-06	-0.59978859
Adcy7	1.23e-06	0.95479173
Bpifb1	1.23e-06	0.91107478
Gdap1	1.23e-06	-1.48008813
Ptpn3	1.23e-06	-1.12101403
Acot6	1.24e-06	0.92407787
Ccdc141	1.25e-06	2.07090825
Apobec1	1.26e-06	0.70623591
Itgbl1	1.28e-06	0.73301551
Scn2a1	1.29e-06	1.16447293
Trdn	1.29e-06	-0.63864945
Fam78a	1.3e-06	-1.28374588
Pdlim1	1.31e-06	0.8926699
Map4k4	1.31e-06	1.24680535
Optn	1.32e-06	-0.75186774
Cbfb	1.33e-06	-0.73187056
Ldhd	1.35e-06	-0.81807928
Vwa3b	1.35e-06	-1.37913247
6430548M08Rik	1.35e-06	1.11081542
AI314180	1.36e-06	-0.77689404
Ptpn3	1.38e-06	-1.01492999
Mpst	1.38e-06	-0.83148171
Slc16a3	1.4e-06	-1.1622952
Ptgfrn	1.4e-06	1.21749126
Fam178a	1.4e-06	0.65117808
Mstn	1.41e-06	-2.69739475
Fcrls	1.43e-06	0.95716456
Pcdhb17	1.45e-06	0.78185586
Scn2a1	1.45e-06	1.04846868
Il20rb	1.45e-06	0.60301791
Rgs12	1.45e-06	0.66155967
Atpaf1	1.46e-06	-0.82557213
Hpgd	1.46e-06	1.0122346
Mirg	1.48e-06	1.71953713
Fndc3b	1.48e-06	0.86964118
Mir687	1.5e-06	0.74759009
Stxbp4	1.52e-06	-1.00871072
Acvr1b	1.53e-06	-1.101592
Piezo2	1.55e-06	0.76458942
Ptpn3	1.55e-06	-1.06528983
Lpcat2	1.57e-06	0.66070755
Cd68	1.6e-06	1.14752131
Atpaf1	1.61e-06	-0.81491895
Unc93b1	1.64e-06	0.7177159
Ube2d1	1.65e-06	-0.96483818
E2f8	1.66e-06	1.10339464
Hs6st2	1.67e-06	0.98772231
Slc38a1	1.68e-06	1.26349336
Calm3	1.69e-06	-0.92594097
Plp2	1.71e-06	0.83978508
Ptpn14	1.71e-06	1.00163256
Kremen1	1.71e-06	0.73147279
6430571L13Rik	1.71e-06	-1.50565855
Msrb2	1.74e-06	-1.00793136
Tec	1.75e-06	0.74065785
Mtmr11	1.76e-06	1.21846803
Hook1	1.76e-06	-1.07789871
Icosl	1.77e-06	0.76153105
Tpm3	1.79e-06	1.02941262
Six2	1.81e-06	-0.97817153
Fam57b	1.83e-06	-1.04800091
Rpl3l	1.84e-06	-0.8874161
Pld4	1.86e-06	0.87558945
Osbpl8	1.87e-06	0.81552694
Nudt19	1.87e-06	-0.78250249
Scn7a	1.88e-06	1.02506158
Ptprc	1.88e-06	0.92586545
Eif4a1	1.89e-06	0.83900434
Tubb2a	1.89e-06	1.25264791
Dock7	1.9e-06	0.87914834
Mtfp1	1.9e-06	-1.06898201
Rnf4	1.91e-06	0.54191606
Obfc1	1.92e-06	0.78299386
Actr1b	1.92e-06	0.72484359
Uaca	1.94e-06	-0.80365343
Park7	1.96e-06	-0.61815033
St8sia2	2e-06	0.96566939
Arhgap28	2.01e-06	0.96087291
Myo5c	2.02e-06	-1.22190933
Kif11	2.03e-06	0.93514249
Atg9a	2.04e-06	-0.5963565
Kcng4	2.08e-06	-1.92777925
Mocs2	2.11e-06	-0.62274308
Ccdc6	2.11e-06	-1.15160057
Itgb1	2.11e-06	0.70152441
Zfp568	2.14e-06	1.25218316
Scn2a1	2.15e-06	1.80095144
Mettl11b	2.15e-06	-2.22738378
Pgm2	2.16e-06	-0.87057691
Cntn2	2.16e-06	1.19540891
St3gal4	2.19e-06	0.72854742
Net1	2.2e-06	0.75148442
Sema4d	2.21e-06	-0.66543206
Myoz3	2.21e-06	-0.98544317
Ppp1r9b	2.23e-06	0.58307417
Rab28	2.24e-06	-0.61709503
Qser1	2.29e-06	-0.62392754
Iqca	2.3e-06	-0.73323074
Trim47	2.32e-06	0.76536677
Ptdss1	2.35e-06	0.79415002
Rnf19a	2.37e-06	0.94357747
Pdlim1	2.39e-06	0.89943369
Fbxo30	2.4e-06	1.11268664
Clu	2.41e-06	-1.26092426
Amhr2	2.43e-06	-0.50047841
Fat3	2.44e-06	0.98582286
B230118H07Rik	2.44e-06	-0.93518858
Plp2	2.47e-06	0.84689107
Foxo4	2.47e-06	-0.78427286
Asb18	2.49e-06	-1.00043515
Synm	2.51e-06	-0.9126751
Col19a1	2.54e-06	0.79791085
Tfcp2l1	2.57e-06	-1.22548658
Cdr2	2.59e-06	0.70516841
Wnk2	2.64e-06	-0.86671795
Dclk1	2.67e-06	1.01451564
Gramd1a	2.68e-06	0.88618502
Slc22a4	2.7e-06	0.94895875
Hif1a	2.71e-06	0.66732116
Pld3	2.73e-06	0.67412719
Adk	2.76e-06	-0.92979186
Srgap3	2.81e-06	0.71644781
Ube2e1	2.81e-06	-0.86614238
Sh3rf1	2.82e-06	0.75993937
Eid1	2.85e-06	0.89829538
Krt80	2.88e-06	0.93769326
Dcun1d2	2.9e-06	-0.79900429
Ccdc180	2.93e-06	1.42155498
E030011O05Rik	2.95e-06	1.08179118
Prdm5	2.96e-06	0.54201532
Inpp4b	2.97e-06	1.20770383
Jmjd1c	2.97e-06	0.63809493
Ak1	2.99e-06	-0.56772617
Ltbp1	3e-06	1.03213692
Slc7a5	3.01e-06	0.86179337
Chrnb1	3.01e-06	1.0356542
Lypd6	3.02e-06	-1.04749087
Gpc6	3.03e-06	0.58874304
Nos1	3.04e-06	-1.90448617
Cpa3	3.07e-06	0.98242958
Emb	3.09e-06	1.50573101
Fsd2	3.1e-06	-0.93325317
Strn4	3.11e-06	0.80412236
Zbtb18	3.13e-06	-0.75761501
Acot13	3.17e-06	-0.75791034
Ndufaf6	3.19e-06	-1.11707343
Vdac1	3.19e-06	-0.49679714
Tmem158	3.21e-06	0.95785567
Pdlim7	3.22e-06	-0.98982109
Epb41l4b	3.23e-06	-0.51156756
Uck2	3.25e-06	1.03962425
Sqrdl	3.26e-06	-0.79813406
Tcea3	3.26e-06	-0.89054902
Tmem176a	3.27e-06	0.81442851
Lrp1	3.29e-06	0.87482206
Ilk	3.31e-06	0.64091229
Fat3	3.31e-06	1.30405751
Fndc3c1	3.32e-06	1.53051186
Plxdc2	3.33e-06	0.72623338
Utrn	3.33e-06	1.19278448
Pcnx4	3.35e-06	0.70319521
B3gnt2	3.35e-06	0.63634737
Clmn	3.36e-06	1.05317733
Gpr157	3.39e-06	-0.94605422
Kcne1l	3.4e-06	1.46019162
Snta1	3.41e-06	-0.69696198
Pde4b	3.42e-06	-0.63303883
Csnk1g3	3.43e-06	1.0843154
Gm12620	3.44e-06	-0.58358556
Gm3873	3.44e-06	-0.65482597
Peg10	3.47e-06	1.01849932
Coq2	3.47e-06	-0.54295761
Lcp1	3.48e-06	0.831103
Sik1	3.49e-06	1.52896485
Nt5dc3	3.53e-06	-0.87669288
Vdac3	3.53e-06	-0.56617045
Barx2	3.53e-06	-1.13077722
Pgp	3.55e-06	-0.5769241
Slc26a7	3.55e-06	0.69450342
Frat2	3.56e-06	-0.58074696
Chchd10	3.56e-06	-0.61018908
Mapk9	3.57e-06	-0.60239142
Myo9a	3.58e-06	0.74657785
Dlg5	3.64e-06	0.56029141
Hk1	3.65e-06	0.68190276
Fat3	3.66e-06	1.13890602
Kcnt2	3.69e-06	0.83782247
